# Energy Density	Pressure	Density
2.090900398000000223e+03	1.265166375999999900e+03	1.193279999999999896e+00
2.106223198000000139e+03	1.275267685999999912e+03	1.198720000000000008e+00
2.121591887000000042e+03	1.285389181000000008e+03	1.204159999999999897e+00
2.137006346000000121e+03	1.295530737999999928e+03	1.209600000000000009e+00
2.152466460999999981e+03	1.305692236999999977e+03	1.215039999999999898e+00
2.167972115000000031e+03	1.315873558999999887e+03	1.220480000000000009e+00
2.183523195000000214e+03	1.326074587000000065e+03	1.225919999999999899e+00
2.199119584999999915e+03	1.336295204000000012e+03	1.231360000000000010e+00
2.214761171999999988e+03	1.346535294000000022e+03	1.236799999999999899e+00
2.230447842000000037e+03	1.356794742999999926e+03	1.242240000000000011e+00
2.246179482000000007e+03	1.367073439000000008e+03	1.247679999999999900e+00
2.261955981000000065e+03	1.377371268000000100e+03	1.253120000000000012e+00
2.277777224999999817e+03	1.387688120000000026e+03	1.258559999999999901e+00
2.293643105000000105e+03	1.398023885000000064e+03	1.264000000000000012e+00
2.309553507999999965e+03	1.408378453999999920e+03	1.269439999999999902e+00
2.325508323999999902e+03	1.418751719000000094e+03	1.274880000000000013e+00
2.341507442999999967e+03	1.429143573000000060e+03	1.280319999999999903e+00
2.357550756999999976e+03	1.439553910999999971e+03	1.285760000000000014e+00
2.373638155000000097e+03	1.449982627999999977e+03	1.291199999999999903e+00
2.389769530000000032e+03	1.460429620999999997e+03	1.296640000000000015e+00
2.405944771999999830e+03	1.470894786000000067e+03	1.302079999999999904e+00
2.422163775999999871e+03	1.481378022000000101e+03	1.307520000000000016e+00
2.438426433000000088e+03	1.491879228000000012e+03	1.312959999999999905e+00
2.454732637000000068e+03	1.502398304000000053e+03	1.318400000000000016e+00
2.471082280999999966e+03	1.512935150999999905e+03	1.323839999999999906e+00
2.487475261000000046e+03	1.523489673000000039e+03	1.329280000000000017e+00
2.503911470999999892e+03	1.534061770999999908e+03	1.334719999999999906e+00
2.520390805999999884e+03	1.544651348999999982e+03	1.340160000000000018e+00
2.536913161999999829e+03	1.555258313999999928e+03	1.345599999999999907e+00
2.553478434999999990e+03	1.565882569000000103e+03	1.351040000000000019e+00
2.570086521000000175e+03	1.576524022000000059e+03	1.356479999999999908e+00
2.586737318999999843e+03	1.587182581000000027e+03	1.361920000000000019e+00
2.603430723999999827e+03	1.597858154999999897e+03	1.367359999999999909e+00
2.620166635999999926e+03	1.608550651000000016e+03	1.372800000000000020e+00
2.636944953000000169e+03	1.619259980999999925e+03	1.378239999999999910e+00
2.653765573000000131e+03	1.629986055000000079e+03	1.383680000000000021e+00
2.670628396000000066e+03	1.640728785000000016e+03	1.389119999999999910e+00
2.687533322000000226e+03	1.651488084999999955e+03	1.394560000000000022e+00
2.704480250999999953e+03	1.662263866999999891e+03	1.399999999999999911e+00
